artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),,genre
"[""Ramblin' Jack Elliott""]",391398,0.449,0.218,0.432,105.44,-15.033,1,10,0.78,0.617,0.11,0.0323,0,443533,20,1968,1968,*** Greens,,Folk
"[""Ramblin' Jack Elliott""]",391398,0.495,0.425,0.494,117.907,-10.94,1,3,0.925,0.0314,0.11,0.0486,0,240400,18,1968,1968,Talking *********,,Folk
"[""Ramblin' Jack Elliott""]",391398,0.482,0.299,0.152,108.101,-12.266,1,7,0.601,0.336,0.106,0.0295,0,304693,42,1968,1968,If I Were A Carpenter,,Folk
"[""Ramblin' Jack Elliott""]",391398,0.501,0.311,0.558,98.232,-15.861,1,11,0.932,0.0884,0.115,0.0323,0,231800,37,1968,1968,"Don't Think Twice, It's All Right - Album Verison",,Folk
"[""The Lovin' Spoonful""]",52900,0.504,0.726,0.843,181.545,-8.259,1,0,0.366,3.61E-06,0.112,0.0307,0,154467,21,1965,Nov-65,Wild About My Lovin',,Folk
"[""The Lovin' Spoonful""]",52900,0.641,0.519,0.907,100.58,-11.375,1,0,0.489,3.76E-06,0.156,0.0301,0,166493,22,1966,Mar-66,It's Not Time Now,,Folk
"[""The Lovin' Spoonful""]",52900,0.542,0.16,0.382,81.376,-17.728,1,0,0.91,0.784,0.108,0.035,0,159760,24,1967,Sep-67,Younger Generation - **** Remaster,,Folk
"[""The Lovin' Spoonful""]",52900,0.601,0.841,0.963,96.212,-7.322,1,2,0.15,0.00013,0.0508,0.034,0,119307,24,1965,Nov-65,Fishin' *****,,Folk
"[""The Lovin' Spoonful""]",52900,0.675,0.791,0.885,97.792,-5.327,1,1,0.0874,0,0.298,0.0428,0,155160,20,1965,Nov-65,My ****,,Folk
"[""The Lovin' Spoonful""]",52900,0.592,0.483,0.719,126.499,-11.348,1,7,0.351,0,0.201,0.0475,0,161227,22,1967,Sep-67,Six O'Clock - **** Remaster,,Folk
"[""The Lovin' Spoonful""]",52900,0.455,0.565,0.559,61.639,-7.71,1,5,0.303,0,0.196,0.0318,0,173867,19,1965,Nov-65,You Baby,,Folk
"[""The Lovin' Spoonful""]",52900,0.489,0.721,0.882,99.361,-8.468,1,9,0.397,0,0.409,0.0331,0,115107,19,1966,Mar-66,There *** Is,,Folk
"[""The Lovin' Spoonful""]",52900,0.299,0.453,0.39,122.09,-11.035,1,5,0.281,0,0.312,0.0404,0,179333,21,1967,Sep-67,*** Is Still A Mystery - **** Remaster,,Folk
"[""The Lovin' Spoonful""]",52900,0.5,0.585,0.709,135.051,-9.213,1,7,0.468,0.000166,0.142,0.037,0,171680,24,1969,1969,Never Going Back,,Folk
"[""The Lovin' Spoonful""]",52900,0.438,0.63,0.558,98.423,-9.833,1,2,0.201,0.804,0.29,0.0309,0,180800,18,1965,Nov-65,***** Owl *****,,Folk
"[""The Lovin' Spoonful""]",52900,0.424,0.666,0.544,111.065,-9.986,1,10,0.0568,0.000131,0.111,0.0403,0,161107,13,1965,1965,Summer in the City - Remastered,,Folk
"[""The Lovin' Spoonful""]",52900,0.42,0.606,0.859,140.261,-7.808,1,4,0.383,0,0.309,0.0597,0,110000,17,1965,Nov-65,On The Road *****,,Folk
"[""The Lovin' Spoonful""]",52900,0.507,0.794,0.682,144.939,-7.078,1,7,0.24,0,0.0679,0.0633,0,148240,17,1965,Nov-65,The Other Side Of This Life,,Folk
"[""The Lovin' Spoonful""]",52900,0.522,0.675,0.704,130.241,-7.445,1,10,0.47,0.00569,0.41,0.0328,0,167667,22,1969,1969,The Prophet,,Folk
"[""The Lovin' Spoonful""]",52900,0.699,0.507,0.587,129.088,-11.726,0,4,0.426,0.000161,0.114,0.0543,0,147133,19,1966,Nov-66,Voodoo In My ******** - **** Remaster,,Folk
"[""The Lovin' Spoonful""]",52900,0.598,0.682,0.368,115.697,-7.158,1,0,0.00207,0.927,0.076,0.0391,0,161747,15,1967,Sep-67,Speakin' Of Spoken,,Folk
"[""The Lovin' Spoonful""]",52900,0.65,0.623,0.724,133.677,-6.769,0,3,0.517,2.29E-06,0.0655,0.0481,0,152347,14,1967,May-67,You're A Big Boy Now,,Folk
"[""The Lovin' Spoonful""]",52900,0.428,0.341,0.509,179.295,-12.037,1,9,0.323,0.000352,0.0843,0.0311,0,192093,17,1966,Mar-66,Day *****,,Folk
"[""The Lovin' Spoonful""]",52900,0.662,0.611,0.974,153.437,-8.604,1,5,0.39,0,0.457,0.0466,0,142040,18,1966,Mar-66,Bald Headed Lena,,Folk
"[""The Lovin' Spoonful""]",52900,0.258,0.678,0.0818,141.097,-6.256,1,9,0.000741,0,0.161,0.0356,0,172627,21,1969,1969,Amazing Air,,Folk
"[""The Lovin' Spoonful""]",52900,0.552,0.742,0.751,138.591,-7.963,1,0,0.218,0,0.339,0.0454,0,125827,67,1965,Nov-65,Do You Believe in Magic?,,Folk
"[""The Lovin' Spoonful""]",52900,0.423,0.681,0.559,110.461,-9.756,1,10,0.0592,0.000177,0.0889,0.0397,0,160307,65,1966,Nov-66,Summer in the City - Remastered,,Folk
"[""The Lovin' Spoonful""]",52900,0.822,0.332,0.834,110.802,-11.369,1,1,0.834,0,0.11,0.0506,0,139093,57,1966,Mar-66,Daydream,,Folk
"[""The Lovin' Spoonful""]",52900,0.638,0.622,0.871,130.354,-10.035,0,1,0.809,0.00385,0.0416,0.0265,0,146400,43,1966,Mar-66,You Didn't Have To Be So Nice,,Folk
"[""The Lovin' Spoonful""]",52900,0.789,0.501,0.945,120.214,-9.064,1,7,0.761,0,0.181,0.0342,0,119373,39,1965,Nov-65,Did You Ever Have to Make up Your Mind?,,Folk
"[""The Lovin' Spoonful""]",52900,0.62,0.463,0.9,87.07,-11.032,1,3,0.512,0.0209,0.0429,0.0324,0,155173,41,1966,Mar-66,Butchie's Tune,,Folk
"[""The Lovin' Spoonful""]",52900,0.776,0.451,0.742,89.575,-11.224,1,0,0.35,0,0.101,0.0405,0,154000,37,1966,Nov-66,Nashville Cats - **** Remaster,,Folk
"[""The Lovin' Spoonful""]",52900,0.42,0.43,0.337,97.196,-8.944,1,7,0.0224,0.248,0.12,0.0244,0,214213,39,1967,May-67,Darling Be Home Soon,,Folk
"[""The Lovin' Spoonful""]",52900,0.584,0.681,0.9,169.897,-7.587,1,10,0.151,0,0.114,0.109,0,114427,41,1969,1969,(Till I) Run With You,,Folk
"[""The Lovin' Spoonful""]",52900,0.544,0.746,0.746,139.345,-7.782,1,0,0.188,0,0.334,0.0487,0,124800,28,1965,1965,Do You Believe in Magic?,,Folk
"[""The Lovin' Spoonful""]",52900,0.448,0.0729,0.341,106.583,-20.502,0,11,0.965,0.000484,0.0981,0.0505,0,161307,37,1966,Nov-66,Coconut Grove - **** Remaster,,Folk
"[""The Lovin' Spoonful""]",52900,0.464,0.332,0.395,79.587,-12.215,0,11,0.819,0.000128,0.131,0.0323,0,156307,31,1966,Mar-66,Didn't Want To Have To Do It,,Folk
