artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),,genre
"[""Anita O'Day"", 'Roy Eldridge']",479028,0.514,0.327,0.602,126.221,-10.422,1,8,0.841,0.00127,0.0717,0.0366,0,233773,11,1956,1/1/1956,Boogie *****,,Vocal
"[""Anita O'Day"", 'Roy Eldridge']",479028,0.547,0.394,0.539,127.598,-10.591,1,6,0.724,0.000113,0.0789,0.0511,0,215667,9,1956,1/1/1956,Opus *,,Vocal
"[""Anita O'Day"", 'Roy Eldridge']",479028,0.611,0.506,0.766,152.032,-6.129,1,8,0.962,0.0046,0.0533,0.0559,0,187560,17,1941,1941,Thanks For The Boogie Ride,,Vocal
"[""Anita O'Day"", 'Roy Eldridge']",479028,0.57,0.523,0.783,76.272,-5.531,1,8,0.961,0.00568,0.0543,0.072,0,187507,1,1932,1932,Thanks For The Boogie Ride,,Vocal
"[""Anita O'Day"", 'Roy Eldridge']",479028,0.519,0.345,0.535,133.331,-9.508,1,8,0.804,0,0.0739,0.0386,0,204000,14,1956,1/1/1956,Let Me *** Uptown,,Vocal
"[""Anita O'Day""]",479028,0.563,0.0731,0.226,75.316,-19.433,1,2,0.957,0,0.179,0.0345,0,126893,18,1957,1/1/1957,Stella By Starlight,,Vocal
"[""Anita O'Day""]",479028,0.461,0.0314,0.177,62.738,-22.119,1,10,0.933,0.00023,0.0858,0.0381,0,197707,11,1960,1/1/1960,Easy Living,,Vocal
"[""Anita O'Day""]",479028,0.491,0.385,0.626,86.812,-9.2,1,2,0.623,0,0.176,0.0334,0,87120,12,1960,1/1/1960,Falling In Love With Love,,Vocal
"[""Anita O'Day""]",479028,0.502,0.111,0.459,115.41,-18.55,1,2,0.892,1.97E-05,0.35,0.0606,0,148187,18,1961,3/14/1961,That Old Feeling,,Vocal
"[""Anita O'Day""]",479028,0.534,0.0486,0.228,69.571,-15.446,0,10,0.99,0.000196,0.092,0.0353,0,254667,8,1955,1/1/1955,The Man I Love,,Vocal
"[""Anita O'Day""]",479028,0.539,0.131,0.334,86.486,-15.584,1,10,0.966,8.91E-06,0.172,0.0564,0,166373,5,1955,1/1/1955,You're Getting To Be A Habit With Me,,Vocal
"[""Anita O'Day""]",479028,0.643,0.138,0.653,91.234,-14.227,1,5,0.964,0,0.087,0.0535,0,149067,5,1955,1/1/1955,Let's Fall In Love,,Vocal
"[""Anita O'Day""]",479028,0.428,0.0667,0.216,74.546,-21.515,1,3,0.979,0.00153,0.148,0.0627,0,235267,15,1957,1/1/1957,"Bewitched, Bothered And Bewildered",,Vocal
"[""Anita O'Day""]",479028,0.418,0.365,0.883,184.252,-10.673,1,9,0.762,0,0.0489,0.129,0,103000,19,1959,1/1/1959,All Of You,,Vocal
"[""Anita O'Day""]",479028,0.648,0.0391,0.327,76.184,-22.378,1,9,0.977,5.59E-05,0.0917,0.0372,0,241000,16,1957,1/1/1957,I've Got The World On A String,,Vocal
"[""Anita O'Day""]",479028,0.53,0.273,0.629,103.756,-15.494,1,8,0.892,0,0.329,0.115,0,142333,17,1959,1/1/1959,I Get A Kick Out Of You,,Vocal
"[""Anita O'Day""]",479028,0.49,0.512,0.805,167.967,-13.115,1,8,0.749,8.74E-05,0.235,0.095,0,160307,13,1957,1/1/1957,Them There Eyes,,Vocal
"[""Anita O'Day""]",479028,0.699,0.147,0.437,116.689,-16.751,1,7,0.881,0,0.128,0.0501,0,220640,14,1957,1/1/1957,We'll Be Together *****,,Vocal
"[""Anita O'Day""]",479028,0.574,0.131,0.66,130.925,-16.161,0,11,0.789,0,0.222,0.123,0,185440,14,1958,1/1/1958,Frenesi,,Vocal
"[""Anita O'Day""]",479028,0.508,0.371,0.733,124.116,-11.54,1,1,0.5,0,0.345,0.0954,0,111933,10,1960,1/1/1960,Have You Met Miss Jones,,Vocal
"[""Anita O'Day""]",479028,0.261,0.106,0.108,76.93,-14.41,1,10,0.974,0.00335,0.171,0.0358,0,263333,13,1962,1/1/1962,The Ballad Of The Sad Young Men,,Vocal
"[""Anita O'Day""]",479028,0.543,0.108,0.387,78.93,-15.125,0,2,0.989,0.00201,0.0939,0.0795,0,162240,5,1955,1/1/1955,Just One Of Those Things - **** Version,,Vocal
"[""Anita O'Day""]",479028,0.477,0.0781,0.257,103.266,-15.735,0,7,0.967,2.33E-06,0.12,0.0363,0,223533,4,1955,1/1/1955,I Didn't Know What Time It Was,,Vocal
"[""Anita O'Day""]",479028,0.596,0.223,0.429,122.835,-16.007,0,7,0.716,0,0.109,0.0658,0,155733,9,1956,1/1/1956,Don't Be That Way,,Vocal
"[""Anita O'Day""]",479028,0.326,0.0381,0.115,129.182,-21.155,1,9,0.906,1.47E-05,0.091,0.0365,0,161467,12,1958,1/1/1958,Tenderly,,Vocal
"[""Anita O'Day""]",479028,0.315,0.0433,0.191,88.442,-22.316,1,8,0.899,0,0.135,0.0356,0,218933,2,1952,1/1/1952,Vaya Con Dios,,Vocal
"[""Anita O'Day""]",479028,0.441,0.228,0.514,168.28,-15.235,1,5,0.621,0,0.109,0.0929,0,253333,10,1956,4/4/1956,Sweet Georgia *****,,Vocal
"[""Anita O'Day""]",479028,0.42,0.166,0.277,128.02,-15.891,0,5,0.933,2.31E-06,0.179,0.0365,0,239000,9,1956,1/1/1956,Man With The Horn,,Vocal
"[""Anita O'Day""]",479028,0.681,0.261,0.816,116.531,-17.238,1,0,0.747,4.28E-05,0.0881,0.0614,0,188173,7,1956,1/1/1956,Pick Yourself Up,,Vocal
"[""Anita O'Day""]",479028,0.508,0.417,0.531,142.288,-13.063,1,7,0.786,0,0.124,0.141,0,152493,10,1959,1/1/1959,What Is This Thing ****** Love?,,Vocal
"[""Anita O'Day""]",479028,0.4,0.0663,0.233,109.202,-22.418,1,10,0.897,2.29E-06,0.172,0.0489,0,182413,13,1961,3/14/1961,When Sunny Gets ****,,Vocal
"[""Anita O'Day""]",479028,0.687,0.28,0.741,87.618,-17.572,1,2,0.778,0,0.0631,0.0534,0,158947,16,1962,1/1/1962,You And The ***** And The Music,,Vocal
"[""Anita O'Day""]",479028,0.609,0.203,0.501,134.534,-13.75,1,1,0.638,0,0.192,0.0558,0,201427,10,1956,1/1/1956,Stompin At The Savoy,,Vocal
"[""Anita O'Day""]",479028,0.554,0.437,0.698,120.037,-13.538,0,5,0.752,0.00105,0.28,0.165,0,147200,10,1958,1/1/1958,Four Brothers,,Vocal
"[""Anita O'Day""]",479028,0.627,0.274,0.691,116.982,-13.423,0,2,0.862,0,0.242,0.0819,0,148973,11,1961,1/1/1961,What A Little Moonlight Can Do,,Vocal
"[""Anita O'Day""]",479028,0.46,0.303,0.931,170.608,-12.567,0,0,0.823,0,0.0676,0.107,0,125707,9,1959,1/1/1959,It's Delovely,,Vocal
"[""Anita O'Day""]",479028,0.601,0.0964,0.31,104.638,-16.657,0,11,0.935,1.63E-06,0.181,0.0627,0,155267,12,1960,1/1/1960,**** Champagne,,Vocal
"[""Anita O'Day""]",479028,0.538,0.306,0.625,107.447,-14.83,1,8,0.89,1.18E-06,0.232,0.0565,0,175667,12,1957,1/1/1957,Old Devil Moon,,Vocal
"[""Anita O'Day""]",479028,0.5,0.128,0.429,75.828,-14.137,1,8,0.914,0,0.182,0.058,0,193947,11,1959,1/1/1959,It Had To Be You,,Vocal
