year,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,Unnamed: 19
1928,467749.0,0.6940000000000001,0.293,0.62,128.57399999999998,-9.414,0.0,2.0,0.976,0.004379999999999999,0.276,0.0394,0.0,192093.0,38.0,
1932,467749.0,0.753,0.311,0.8420000000000001,152.942,-12.77,1.0,3.0,0.98,0.0632,0.33899999999999997,0.0623,0.0,182867.0,0.0,
1936,467749.0,0.7495,0.345,0.854,153.4315,-12.7325,1.0,3.0,0.9465000000000001,0.0171,0.32,0.057100000000000005,0.0,180720.0,1.0,
1941,467749.0,0.6106857142857143,0.2088571428571429,0.5035142857142857,116.49874285714283,-12.53654285714286,0.5142857142857142,5.485714285714286,0.9477428571428573,0.04819721571428573,0.19577428571428576,0.03992285714285712,0.0,183825.94285714286,12.542857142857143,
1948,467749.0,0.5971666666666667,0.17489999999999997,0.5206333333333334,129.68616666666668,-13.520499999999998,0.5,6.333333333333333,0.8393333333333333,0.007322949999999999,0.20856666666666665,0.04278333333333333,0.0,174182.33333333334,4.666666666666667,
1954,467749.0,0.3945,0.21175000000000002,0.32,100.98625000000001,-13.105,0.75,6.25,0.717,6.175e-06,0.34099999999999997,0.034975,0.0,173773.5,14.0,
1955,467749.0,0.4083333333333334,0.24800000000000003,0.3666444444444445,109.7423333333333,-13.772777777777776,0.6666666666666666,6.333333333333333,0.8024444444444444,0.011390577777777777,0.2384,0.03866666666666666,0.0,164538.0,11.555555555555555,
1956,483243.76923076925,0.5349999999999999,0.4314961538461539,0.5315384615384615,112.3204615384615,-15.239076923076926,0.6538461538461539,5.846153846153846,0.6011238461538461,0.18650464538461536,0.18333461538461535,0.11935384615384614,0.0,150057.88461538462,17.0,
1957,467749.0,0.331875,0.23062500000000002,0.237075,110.99300000000001,-13.590250000000001,0.625,7.0,0.9072499999999999,0.03367285,0.1926875,0.0403375,0.0,194464.625,15.375,
1958,467749.0,0.38799999999999996,0.00615,0.256,84.402,-28.159000000000002,1.0,8.0,0.982,3.74e-05,0.0823,0.044000000000000004,0.0,149493.0,11.0,
1959,467749.0,0.6301111111111111,0.25484814814814816,0.5438148148148149,115.60474074074075,-12.1472962962963,0.4444444444444444,5.333333333333333,0.7393333333333333,0.000366971111111111,0.1639037037037037,0.047703703703703686,0.0,154408.37037037036,18.74074074074074,
1960,467749.0,0.6379999999999998,0.2544518518518519,0.6336666666666665,122.58922222222223,-16.12925925925926,0.6666666666666666,4.7407407407407405,0.7370740740740741,0.0029746185185185185,0.1521814814814815,0.07932592592592592,0.0,150655.85185185185,19.22222222222222,
1961,467749.0,0.327,0.156,0.168,94.052,-13.520999999999999,1.0,5.0,0.826,3.8799999999999994e-05,0.22699999999999998,0.03,0.0,172733.0,12.0,
1962,467749.0,0.6869999999999999,0.21439999999999998,0.64625,118.377125,-12.550749999999999,0.75,5.5,0.7631249999999998,7.06725e-05,0.1796,0.05555,0.0,172228.25,20.75,
1963,467749.0,0.4405,0.29,0.43999999999999995,89.374,-14.187999999999999,0.0,7.5,0.7125,7.75e-05,0.1041,0.0487,0.0,156160.0,34.0,
1964,467749.0,0.5833333333333334,0.38566666666666666,0.6336666666666666,102.00933333333334,-12.130666666666665,0.6666666666666666,2.6666666666666665,0.6030000000000001,4.702333333333333e-05,0.17943333333333333,0.06280000000000001,0.0,161471.0,21.666666666666668,
1965,467749.0,0.62,0.3595,0.7315,151.844,-10.6905,0.5,8.5,0.6685,9.6e-05,0.08845,0.0887,0.0,133946.5,39.5,
1966,467749.0,0.7469999999999999,0.312,0.7345,125.9905,-11.1435,1.0,5.5,0.552,0.0,0.243,0.0539,0.0,128433.5,38.5,
1967,467749.0,0.734,0.22050000000000003,0.7765,111.6465,-12.589500000000001,0.5,6.5,0.7024999999999999,0.0,0.08215,0.04915,0.0,139646.5,27.5,
1968,750519.0,0.49200000000000005,0.507,0.0791,131.792,-9.464,1.0,7.0,0.982,0.9129999999999999,0.16399999999999998,0.0434,0.0,2516987.0,20.0,
1969,541568.6,0.43705,0.35449,0.46869000000000005,109.85170000000001,-15.999,0.8,5.1,0.7985,0.6065,0.11638000000000001,0.04690999999999999,0.0,421390.7,30.0,
1972,467749.0,0.205,0.43700000000000006,0.28300000000000003,174.425,-11.276,0.0,11.0,0.45799999999999996,0.0009310000000000001,0.278,0.0332,0.0,206379.0,29.0,
1978,186927.0,0.12655,0.033850000000000005,0.032175,97.8255,-27.09325,0.75,3.75,0.972,0.7715,0.09889999999999999,0.043725,0.0,712440.25,31.25,
1979,467749.0,0.7959999999999999,0.215,0.5720000000000001,111.15700000000001,-9.408999999999999,1.0,6.0,0.495,0.0,0.10099999999999999,0.0726,0.0,127800.0,29.0,
1980,186927.0,0.27875,0.0209475,0.08232499999999998,86.43275,-30.97125,0.5,4.75,0.9910000000000001,0.9157500000000001,0.090625,0.04295,0.0,250273.0,39.25,
1981,186927.0,0.221,0.0417,0.0316,75.282,-24.456999999999997,1.0,10.0,0.9390000000000001,0.8909999999999999,0.0917,0.0324,0.0,246707.0,24.0,
1982,785773.0,0.7028000000000001,0.2232,0.4406,99.90579999999999,-14.0224,0.8,4.0,0.7186,0.394,0.11181999999999999,0.03744,0.0,338485.4,34.8,
1984,186927.0,0.13402727272727274,0.023608181818181816,0.05841818181818182,81.5900909090909,-33.476909090909096,0.45454545454545453,5.818181818181818,0.9713636363636362,0.8984545454545454,0.1137909090909091,0.04205454545454545,0.0,233949.0,37.81818181818182,
1986,403639.8888888889,0.4003333333333334,0.18326222222222224,0.20574444444444442,104.48833333333333,-21.654333333333334,0.8888888888888888,4.333333333333333,0.4712288888888889,0.3590808888888889,0.16721111111111112,0.06183333333333333,0.0,256059.33333333334,37.111111111111114,
1991,943649.0,0.168,0.00198,0.0279,69.344,-40.147,0.0,9.0,0.98,0.9570000000000001,0.10400000000000001,0.0493,0.0,172867.0,37.0,
1995,1841214.5,0.6125,0.39625,0.5005,112.22550000000001,-15.713999999999999,1.0,8.0,0.22549999999999998,0.0,0.11549999999999999,0.09190000000000001,0.0,210320.0,55.0,
1997,1022890.4,0.6102000000000001,0.37459999999999993,0.47918000000000005,87.3392,-12.170800000000002,0.8,4.2,0.6918,0.177096228,0.17173999999999998,0.03848,0.0,155920.0,47.4,
1998,1307021.857142857,0.6448571428571428,0.47814285714285715,0.5467142857142857,127.859,-10.857857142857142,0.42857142857142855,6.714285714285714,0.48858571428571423,0.3884675042857143,0.13245714285714286,0.05502857142857143,0.0,208114.2857142857,47.714285714285715,
2000,475362.0,0.7556666666666668,0.48966666666666664,0.7466666666666667,122.67099999999999,-11.277666666666667,0.3333333333333333,4.333333333333333,0.37399999999999994,0.011794333333333332,0.13833333333333334,0.0506,0.0,295711.0,46.0,
2001,467749.0,0.39299999999999996,0.23,0.231,106.42200000000001,-15.023,1.0,7.0,0.91,0.0,0.142,0.0451,0.0,146587.0,39.0,
2002,467749.0,0.618,0.314,0.5479999999999999,88.825,-13.88,1.0,10.0,0.805,0.0020399999999999997,0.0886,0.0341,0.0,129227.0,39.0,
2003,3214680.0,0.452,0.34600000000000003,0.349,163.90099999999998,-9.755,1.0,2.0,0.237,0.0,0.162,0.0264,0.0,213253.0,58.0,
2005,594765.0,0.581,0.8690000000000001,0.368,109.986,-3.677,0.0,0.0,0.00242,0.8590000000000001,0.0868,0.0646,0.0,393427.0,45.0,
2006,467749.0,0.185,0.0893,0.258,79.123,-20.396,1.0,1.0,0.977,0.00773,0.113,0.044000000000000004,0.0,96800.0,50.0,
2009,846807.0,0.3195,0.40914999999999996,0.2855,148.46949999999998,-14.731000000000002,0.5,5.5,0.496712,0.8905,0.138,0.03705,0.0,385992.0,56.5,
2011,186927.0,0.0821,0.10400000000000001,0.0354,74.773,-21.088,1.0,11.0,0.985,0.794,0.0907,0.0379,0.0,293627.0,57.0,
2012,1098849.0,0.385,0.0604,0.174,74.78750000000001,-24.4465,0.0,7.0,0.989,0.8835,0.11050000000000001,0.0606,0.0,210578.0,56.0,
2016,1098849.0,0.359,0.0224,0.16899999999999998,107.84899999999999,-29.089000000000002,1.0,3.0,0.987,0.866,0.111,0.039,0.0,354989.0,60.0,
