year,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,Unnamed: 19
1940,258947.0,0.635,0.11,0.405,85.65,-30.467,0.0,1.0,0.35,0.0,0.38299999999999995,0.93,0.0,999827.0,0.0,
1949,258947.0,0.444,0.18824545454545455,0.3745272727272727,117.1820909090909,-14.30709090909091,1.0,3.090909090909091,0.9092727272727275,0.03260745818181818,0.18698181818181822,0.06197272727272727,0.0,172815.81818181818,0.09090909090909091,
1950,217229.0,0.5052222222222222,0.523,0.4668888888888889,118.85988888888889,-11.732555555555557,0.7777777777777778,6.666666666666667,0.5862888888888889,0.14072769,0.6305555555555555,0.05766666666666667,0.0,345687.55555555556,16.0,
1952,3224219.0,0.258,0.429,0.5710000000000001,176.938,-13.939,0.0,3.0,0.892,8.149999999999999e-05,0.15,0.0388,0.0,234987.0,0.0,
1963,258947.0,0.49449999999999994,0.14250000000000002,0.255,98.27600000000001,-22.448,0.5,7.0,0.9510000000000001,0.46200121,0.1215,0.27055,0.0,547360.0,28.5,
1968,189641.0,0.7486666666666668,0.8556666666666666,0.9786666666666667,146.674,-9.512,1.0,0.3333333333333333,0.39599999999999996,0.48600000000000004,0.1669333333333333,0.06063333333333334,0.0,130666.66666666667,28.0,
1970,455355.0,0.4904,0.5618000000000001,0.5236799999999999,108.0078,-13.3268,0.6,6.8,0.6963999999999999,0.8118000000000001,0.1339,0.04916,0.0,215682.6,30.8,
1972,387815.0,0.5379999999999999,0.7383333333333333,0.6893333333333334,138.42733333333334,-13.230666666666666,1.0,6.666666666666667,0.08376666666666666,0.8493333333333334,0.1562,0.034466666666666666,0.0,600729.0,30.666666666666668,
1973,613907.5,0.378,0.5519999999999999,0.09875,116.8445,-15.4925,0.5,5.0,0.47365850000000004,0.7350000000000001,0.1395,0.03465,0.0,516200.0,35.5,
1974,137166.66666666666,0.37883333333333336,0.34455833333333336,0.2546083333333334,108.33425,-18.388166666666663,0.5833333333333334,2.6666666666666665,0.4942616666666666,0.7148416666666667,0.1837,0.07040833333333334,0.0,456949.9166666667,35.166666666666664,
