year,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,Unnamed: 19
1930,532144.8888888889,0.6845555555555555,0.49300000000000005,0.933,116.36555555555557,-8.195222222222222,0.6666666666666666,5.666666666666667,0.9228888888888888,0.07157833777777776,0.15838888888888888,0.13464444444444446,0.0,179719.77777777778,2.2222222222222223,
1937,213287.66666666666,0.3878333333333333,0.34400000000000003,0.6978333333333332,139.889,-12.493,0.5,4.333333333333333,0.9623333333333334,0.10286919166666668,0.15215,0.06186666666666666,0.0,222686.66666666666,4.666666666666667,
1939,132940.0,0.41300000000000003,0.38749999999999996,0.788,123.7025,-10.625,1.0,6.5,0.983,0.002835,0.2505,0.03155,0.0,243313.5,1.5,
1940,325774.4,0.4922000000000001,0.6222000000000001,0.8342,123.9478,-8.241800000000001,0.2,5.6,0.8496,0.143964944,0.45120000000000005,0.09476,0.0,242816.8,1.2,
1941,546156.5714285715,0.42842857142857144,0.5574285714285714,0.5875714285714286,124.05685714285714,-9.770142857142856,1.0,5.571428571428571,0.8181428571428571,0.0014324885714285716,0.23355714285714285,0.1271142857142857,0.0,231916.42857142858,1.5714285714285714,
1942,359804.0,0.5008235294117648,0.37858823529411767,0.6267647058823529,119.539,-11.315823529411762,0.4117647058823529,4.588235294117647,0.9580000000000001,0.4850679647058823,0.32708235294117644,0.18680000000000002,0.0,241845.35294117648,1.411764705882353,
1943,332690.6666666667,0.5641666666666666,0.30315,0.6055,117.59216666666667,-13.591833333333334,0.8333333333333334,5.333333333333333,0.9420000000000002,0.6026330316666666,0.15456666666666666,0.08391666666666668,0.0,222351.0,0.0,
1944,284857.06666666665,0.4843333333333334,0.30048,0.5459999999999999,118.84633333333333,-11.254266666666666,0.7333333333333333,6.466666666666667,0.9594,0.378168,0.22039333333333339,0.12528666666666669,0.0,249709.73333333334,1.2666666666666666,
1945,173113.83333333334,0.44258333333333333,0.5241666666666668,0.6341666666666667,103.584,-11.781333333333334,0.3333333333333333,6.75,0.9131666666666667,0.25127965999999996,0.17508333333333334,0.08919166666666667,0.0,253881.0,2.75,
1946,142891.33333333334,0.5204444444444444,0.39566666666666667,0.663,98.63922222222223,-9.564666666666668,0.5555555555555556,5.666666666666667,0.9565555555555554,0.05328922222222222,0.2618,0.15135555555555555,0.0,259123.55555555556,5.666666666666667,
1947,392392.1666666667,0.498,0.42750000000000005,0.6194166666666667,123.41350000000001,-10.55525,0.5833333333333334,8.083333333333334,0.8607499999999999,0.28039434166666666,0.16845,0.09247499999999999,0.0,326695.8333333333,0.08333333333333333,
1948,178135.5625,0.5391875,0.27421874999999996,0.67146875,117.8729375,-11.329625,0.59375,4.46875,0.9746875,0.22658557125000003,0.27271875,0.161565625,0.0,201845.125,0.09375,
1949,171192.31460674157,0.5350898876404493,0.2781011235955057,0.6617191011235953,109.7723146067416,-12.064449438202251,0.7528089887640449,4.786516853932584,0.954674157303371,0.20008285393258426,0.2139067415730337,0.08793932584269662,0.0,201708.33707865168,1.3707865168539326,
1950,337715.6666666667,0.5711296296296295,0.31873333333333337,0.7370000000000002,110.71962962962964,-12.23275925925926,0.6666666666666666,5.074074074074074,0.930333333333333,0.18092349981481487,0.19118703703703707,0.11641666666666667,0.0,201465.5185185185,1.2592592592592593,
1951,235383.275,0.5529125,0.3038937500000001,0.7170375000000002,117.75493750000001,-11.805924999999998,0.75,4.275,0.9476499999999998,0.23369620937499996,0.19270874999999998,0.10279124999999997,0.0,200233.6375,1.1125,
1952,236509.82417582418,0.5217142857142857,0.2628000000000001,0.6377582417582418,108.12312087912092,-13.074428571428578,0.6593406593406593,5.230769230769231,0.9606923076923071,0.28517494000000004,0.20541208791208795,0.11402637362637359,0.0,202733.23076923078,1.120879120879121,
1953,258701.5652173913,0.5113152173913043,0.2859445652173913,0.6643260869565216,111.7923260869565,-12.592445652173915,0.7282608695652174,4.565217391304348,0.9603478260869566,0.3013494065217391,0.18981195652173907,0.09892065217391302,0.0,204236.96739130435,2.260869565217391,
