Days,Italy+,Italy-,Spain+,Spain-,Germany+,Germany-
1,240,8,13,0,0,0
2,561,6,0,0,72,0
3,347,17,69,0,28,0
4,466,28,37,0,39,0
5,587,27,47,1,66,0
6,769,41,59,2,272,0
7,778,49,117,2,105,0
8,1247,37,56,0,156,0
9,1492,132,159,5,317,0
10,1797,97,435,18,27,2
11,977,168,615,8,157,0
12,2313,196,501,12,271,1
13,2651,189,825,36,802,3
14,2547,252,1266,36,693,0
15,3497,173,1522,16,733,2
16,3590,368,2000,152,1043,4
17,3233,349,1438,21,1174,1
18,3526,345,1987,182,1144,0
19,5322,429,3431,169,2801,8
20,5986,625,2833,235,7324,25
21,6557,795,4946,324,3140,22
